"osm_id","name","contents","direction","highway","lamp_mount","lamps","mapillary","material","maxspeed","maxspeed:advisory","power","source","source:maxspeed","support","survey:date","traffic_sign","geometry"
"6965433146",NA,NA,"320",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2650477, 40.2222602)
"6965433147",NA,NA,"320",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2641857, 40.2216053)
"6965433148",NA,NA,"320",NA,NA,NA,NA,NA,"50 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.262769, 40.2205324)
"6965433149",NA,NA,"310",NA,NA,NA,NA,NA,"50 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2530254, 40.2138616)
"6965433150",NA,NA,"0",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2492707, 40.2077283)
"6965433151",NA,NA,"15",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.252475, 40.1874742)
"6965442651",NA,NA,"30",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2621234, 40.1729646)
"6965442652",NA,NA,"0",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2823526, 40.1481343)
"6965442653",NA,NA,"0",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.282369, 40.1427423)
"6965442654",NA,NA,"0",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.282447, 40.126601)
"6965442655",NA,NA,"0",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2822935, 40.0974337)
"6965442656",NA,NA,"350",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2833745, 40.0690243)
"6965442657",NA,NA,"320",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2784493, 40.0628659)
"6965442658",NA,NA,"310",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2633337, 40.053478)
"6965442659",NA,NA,"330",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2596806, 40.0501913)
"6965442660",NA,NA,"350",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2589202, 40.0485691)
"6965442661",NA,NA,"0",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2586148, 40.042131)
"6965442662",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2586486, 40.0386979)
"6965442663",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2586385, 40.0357123)
"6965442664",NA,NA,"90",NA,NA,NA,NA,NA,"25 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2592514, 40.0328772)
"6965442665",NA,NA,"270",NA,NA,NA,NA,NA,"25 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2580186, 40.0327746)
"6965442666",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2585614, 40.0278582)
"6986158141",NA,NA,"310",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2620455, 40.0526328)
"6986158142",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2585802, 40.0187964)
"6986158143",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2584261, 40.0188495)
"6986158144",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2585594, 40.0164396)
"6986158145",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2583942, 40.0165332)
"6986158146",NA,NA,"5",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2585776, 40.0138942)
"6986158147",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2588478, 40.0103225)
"6986158148",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2588914, 40.0075962)
"6986158149",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.258694, 40.0074701)
"6986158150",NA,NA,"0",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2588551, 40.0064627)
